"Months","Year","Extra Large Dozen","Extra Large 1/2 Doz. 1/2 Dozen","Large Dozen","Large 1/2 Doz.","Whole","B/S Breast","Bone-in Breast","Whole Legs","Thighs","index"
"August","2008",285.5,185.5,277.5,174.5,248,645.5,"390.5",203.5,"222","Aug 08"
"September","2008",285.5,185.5,277.5,174.5,248,645.5,"390.5",203.5,"222","Sep 08"
"October","2008",285.5,185.5,277.5,174.5,248,645.5,"390.5",203.5,"222","Oct 08"
"November","2008",285.5,185.5,277.5,174.5,248,645.5,"390.5",203.5,"222","Nov 08"
"December","2008",285.5,185.5,277.5,174.5,248,645.5,"390.5",203.5,"222","Dec 08"
"January","2009",285.5,185.5,277.5,174.5,248,645.5,"390.5",203.5,"222","Jan 09"
"February","2009",285.5,185.5,277.5,174.5,248,645.5,"390.5",203.5,"222","Feb 09"
"March","2009",285.5,185.5,277.5,174.5,248,645.5,"390.5",203.5,"222","Mar 09"
"April","2009",285.5,185.5,277.5,174.5,248,645.5,"390.5",203.5,"222","Apr 09"
"May","2009",285.5,185.5,277.5,174.5,248,645.5,"390.5",203.5,"222","May 09"
"June","2009",285.5,185.5,277.5,174.5,248,645.5,"390.5",203.5,"222","Jun 09"
"July","2009",285.5,185.5,277.5,174.5,248,645.5,"390.5",203.5,"222","Jul 09"
"August","2009",285.5,185.5,271.5,174.5,248,645.5,"390.5",203.5,"222","Aug 09"
"September","2009",285.5,185.5,271.5,174.5,248,645.5,"390.5",203.5,"222","Sep 09"
"October","2009",285.5,185.5,271.5,174.5,248,645.5,"390.5",203.5,"222","Oct 09"
"November","2009",285.5,185.5,271.5,174.5,248,645.5,"390.5",203.5,"222","Nov 09"
"December","2009",285.5,185.5,271.5,174.5,248,645.5,"390.5",203.5,"222","Dec 09"
"January","2010",285.5,185.5,271.5,174.5,248,645.5,"390.5",203.5,"222","Jan 10"
"February","2010",285.5,185.5,271.5,174.5,248,645.5,"390.5",203.5,"222","Feb 10"
"March","2010",285.5,185.5,268,174.5,248,645.5,"390.5",203.5,"222","Mar 10"
"April","2010",285.5,185.5,268,174.5,241.5,645.5,"390.5",203.5,"222","Apr 10"
"May","2010",285.5,185.5,268,174.5,235,645.5,"390.5",203.5,"222","May 10"
"June","2010",285.5,185.5,268,174.5,235,645.5,"390.5",203.5,"222","Jun 10"
"July","2010",285.5,185.5,268,174.5,241.5,645.5,"390.5",203.5,"222","Jul 10"
"August","2010",285.5,185.5,268,174.5,235,642.3,"390.5",203.5,"219.19999999999999","Aug 10"
"September","2010",285.5,185.5,268,174.5,235,637.5,"390.5",203.5,"215","Sep 10"
"October","2010",285.5,185.5,267.5,174.5,235,637.5,"390.5",203.5,"215","Oct 10"
"November","2010",285.5,185.5,267.5,174.5,235,637.5,"390.5",203.5,"215","Nov 10"
"December","2010",285.5,185.5,267.5,174.5,235,637.5,"390.5",203.5,"215","Dec 10"
"January","2011",285.5,185.5,267.5,174.5,235,637.5,"390.5",203.5,"215","Jan 11"
"February","2011",285.5,185.5,267.5,174.5,235,637.5,"390.5",203.5,"215","Feb 11"
"March","2011",285.5,185.5,267.5,174.5,235,637.5,"390.5",203.5,"215","Mar 11"
"April","2011",285.5,185.5,267.5,174.5,235,637.5,"390.5",203.5,"215","Apr 11"
"May","2011",285.5,185.5,267.5,174.5,235,637.5,"390.5",203.5,"215","May 11"
"June","2011",285.5,185.5,270,174.5,235,637.5,"390.5",203.5,"215","Jun 11"
"July","2011",285.5,185.5,270,174.5,235,637.5,"390.5",203.5,"215","Jul 11"
"August","2011",285.5,185.5,270,174.5,235,637.5,"390.5",203.5,"215","Aug 11"
"September","2011",285.5,185.5,270,174.5,235,637.5,"390.5",203.5,"215","Sep 11"
"October","2011",285.5,185.5,270,174.5,235,637.5,"390.5",203.5,"215","Oct 11"
"November","2011",285.5,185.5,270,174.5,235,637.5,"390.5",203.5,"215","Nov 11"
"December","2011",285.5,185.5,270,174.5,235,637.5,"390.5",203.5,"215","Dec 11"
"January","2012",285.5,185.5,267.5,174.5,235,637.5,"390.5",203.5,"215","Jan 12"
"February /1","2012",288.5,185.5,267.5,174.5,238.5,700,"390.5",203.5,"215","Feb 12"
"March","2012",288.5,185.5,267.5,174.5,238.5,700,"390.5",203.5,"215","Mar 12"
"April","2012",288.5,185.5,267.5,174.5,238.5,700,"390.5",203.5,"215","Apr 12"
"May","2012",288.5,185.5,267.5,173.25,238.5,700,"390.5",203.5,"215","May 12"
"June","2012",288.5,185.5,267.5,173.25,238.5,700,"390.5",203.5,"215","Jun 12"
"July","2012",288.5,185.5,267.5,173.25,238.5,700,"390.5",203.5,"215","Jul 12"
"August","2012",288.5,185.5,267.5,173.25,238.5,700,"390.5",203.5,"216.25","Aug 12"
"September","2012",288.5,185.5,267.5,173.25,238.5,700,"390.5",203.5,"216.25","Sep 12"
"October","2012",288.5,185.5,267.5,173.25,238.5,700,"390.5",203.5,"216.25","Oct 12"
"November","2012",290,188.13,267.5,178,238.5,703.75,"390.5",203.5,"216.25","Nov 12"
"December","2012",290,188.13,267.5,178,238.5,703.75,"390.5",203.5,"216.25","Dec 12"
"January","2013",290,188.13,267.5,178,238.5,703.75,"390.5",203.5,"216.25","Jan 13"
"February /1","2013",290,188.13,267.5,178,238.5,703.75,"390.5",203.5,"216.25","Feb 13"
"March","2013",290,188.13,267.5,178,238.5,703.75,"390.5",203.5,"216.25","Mar 13"
"April","2013",290,188.13,267.5,178,238.5,703.75,"390.5",203.5,"216.25","Apr 13"
"May","2013",290,188.13,267.5,178,238.5,703.75,"390.5",203.5,"216.25","May 13"
"June","2013",290,188.13,267.5,178,238.5,703.75,"390.5",203.5,"216.25","Jun 13"
"July","2013",290,188.13,267.5,178,238.5,703.75,"390.5",203.5,"216.25","Jul 13"
"August","2013",290,188.13,267.5,178,238.5,703.75,"390.5",203.5,"216.25","Aug 13"
"September","2013",290,188.13,267.5,178,238.5,703.75,"390.5",203.5,"216.25","Sep 13"
"October","2013",290,188.13,267.5,178,238.5,703.75,"390.5",203.5,"216.25","Oct 13"
"November","2013",290,188.13,267.5,178,238.5,703.75,"390.5",203.5,"216.25","Nov 13"
"December","2013",290,188.13,267.5,178,238.5,703.75,"390.5",203.5,"216.25","Dec 13"
